,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,Yq7j28Ws9TbM551SjkML8A,tupelo-honey-asheville,Tupelo Honey,https://s3-media3.fl.yelpcdn.com/bphoto/tAyyBbSHG3JuHE7G86-lgw/o.jpg,False,https://www.yelp.com/biz/tupelo-honey-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,3058,Southern (southern) Breakfast & Brunch (breakfast_brunch) American (New) (newamerican),4.5,"delivery,pickup",$$,+18282554863,(828) 255-4863,1316.9604644588758,35.59482,-82.554889,12 College St,,,Asheville,28801,US,NC,"12 College St;Asheville, NC 28801"
1,xlAw9sqb9RV8NJZ3MVPG5g,sunny-point-café-asheville,Sunny Point Café,https://s3-media2.fl.yelpcdn.com/bphoto/poJJZJT8qBea2rt_chUZsA/o.jpg,False,https://www.yelp.com/biz/sunny-point-caf%C3%A9-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1950,Southern (southern) Breakfast & Brunch (breakfast_brunch) American (New) (newamerican),4.5,delivery,$$,+18282520055,(828) 252-0055,3003.793786451038,35.57859,-82.5888499,626 Haywood Rd,,,Asheville,28806,US,NC,"626 Haywood Rd;Asheville, NC 28806"
2,a_6wDiDT_H58pVfwC3dCLw,cúrate-asheville-2,Cúrate,https://s3-media2.fl.yelpcdn.com/bphoto/rXttVKAecz4msJkHY5kukA/o.jpg,False,https://www.yelp.com/biz/c%C3%BArate-asheville-2?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1861,Tapas Bars (tapas) Spanish (spanish) Wine Bars (wine_bars),4.5,delivery,$$$,+18282392946,(828) 239-2946,1306.9398834008466,35.5942,-82.55162,13 Biltmore Ave,,,Asheville,28801,US,NC,"13 Biltmore Ave;Asheville, NC 28801"
3,qwWIMTXn7LR2eiCjeHRHJA,biscuit-head-asheville-2,Biscuit Head,https://s3-media2.fl.yelpcdn.com/bphoto/MOGBhS89yw6ifHQVrnV7Hg/o.jpg,False,https://www.yelp.com/biz/biscuit-head-asheville-2?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1644,Cafes (cafes) American (New) (newamerican) Breakfast & Brunch (breakfast_brunch),4.5,delivery,$$,+18285053449,(828) 505-3449,454.3068308347212,35.581280916539,-82.551527679148,417 Biltmore Ave,Ste 4F,,Asheville,28801,US,NC,"417 Biltmore Ave;Ste 4F;Asheville, NC 28801"
4,8AghPgn8HRDjyCgYeHmHow,white-duck-taco-shop-asheville,White Duck Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/YrEe4MIWgdXCqQ7K44cRfw/o.jpg,False,https://www.yelp.com/biz/white-duck-taco-shop-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1724,Tacos (tacos),4.5,delivery,$,+18282541398,(828) 254-1398,1910.1041111967731,35.594026,-82.57229,388 Riverside Dr,,,Asheville,28801,US,NC,"388 Riverside Dr;Asheville, NC 28801"
5,iC-SSZJhO0EHREOvQqnuIA,hole-hot-doughnuts-and-fresh-coffee-asheville,HOLE - Hot Doughnuts and Fresh Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/9MaYLjjaqxkv-zaaeQIa2w/o.jpg,False,https://www.yelp.com/biz/hole-hot-doughnuts-and-fresh-coffee-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,617,Donuts (donuts) Coffee & Tea (coffee),5.0,delivery,$$,+18287745667,(828) 774-5667,1576.2738963799627,35.58077,-82.57313,168 Haywood Rd,,,Asheville,28806,US,NC,"168 Haywood Rd;Asheville, NC 28806"
6,oIiAA7wU1_YUq_wo8kinBQ,biscuit-head-asheville,Biscuit Head,https://s3-media3.fl.yelpcdn.com/bphoto/-cQngRLBodz03y9sNqU8LQ/o.jpg,False,https://www.yelp.com/biz/biscuit-head-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1002,Bakeries (bakeries) Breakfast & Brunch (breakfast_brunch) Southern (southern),4.5,delivery,$,+18283335145,(828) 333-5145,3372.4606198497236,35.57788,-82.59277,733 Haywood Rd,,,Asheville,28806,US,NC,"733 Haywood Rd;Asheville, NC 28806"
7,3r4dxgOOTT9WoDFIcQqpuw,chai-pani-asheville,Chai Pani,https://s3-media1.fl.yelpcdn.com/bphoto/R0j5i3ngvJwv6F2tsKtd9A/o.jpg,False,https://www.yelp.com/biz/chai-pani-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,991,Indian (indpak),4.5,delivery,$$,+18282544003,(828) 254-4003,1338.1503314927484,35.595036,-82.5553632,22 Battery Park Ave,,,Asheville,28801,US,NC,"22 Battery Park Ave;Asheville, NC 28801"
8,mhAPcr9dMwmai36EB06cOw,homegrown-asheville,HomeGrown,https://s3-media3.fl.yelpcdn.com/bphoto/5GRUHCp8fJY9JImyz92SLg/o.jpg,False,https://www.yelp.com/biz/homegrown-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1095,American (New) (newamerican) Salad (salad) Wine Bars (wine_bars),4.5,delivery,$,+18282324340,(828) 232-4340,3192.9713100567274,35.611713,-82.554833,371 Merrimon Ave,,,Asheville,28801,US,NC,"371 Merrimon Ave;Asheville, NC 28801"
9,d8Vg0DxRY-s2a8xnZ6ratw,chestnut-asheville,Chestnut,https://s3-media1.fl.yelpcdn.com/bphoto/UdiCkh8mXMXECR34vLuG8g/o.jpg,False,https://www.yelp.com/biz/chestnut-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1001,American (New) (newamerican) Southern (southern),4.5,"delivery,pickup",$$,+18285752667,(828) 575-2667,1220.348210249243,35.5931657,-82.550943,48 Biltmore Ave,,,Asheville,28801,US,NC,"48 Biltmore Ave;Asheville, NC 28801"
10,GZrNGIp1Kn7_Hp8duY04YQ,12-bones-smokehouse-river-asheville-2,12 Bones Smokehouse RIVER,https://s3-media4.fl.yelpcdn.com/bphoto/VHy_NXnfdrL5tIbjqA4FvA/o.jpg,False,https://www.yelp.com/biz/12-bones-smokehouse-river-asheville-2?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,935,Barbeque (bbq) Smokehouse (smokehouse) Sandwiches (sandwiches),4.5,delivery,$$,+18282534499,(828) 253-4499,1089.5348560091063,35.5775205,-82.5660508,5 Foundy St,,,Asheville,28801,US,NC,"5 Foundy St;Asheville, NC 28801"
11,jvm3KO49lnoGOtJEwOTbXg,red-ginger-dimsum-and-tapas-asheville-2,Red Ginger Dimsum And Tapas,https://s3-media3.fl.yelpcdn.com/bphoto/lTzrTb8v0VIjtikXw5Mn4g/o.jpg,False,https://www.yelp.com/biz/red-ginger-dimsum-and-tapas-asheville-2?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,908,Dim Sum (dimsum) Tapas Bars (tapas),4.5,delivery,$$,+18285058688,(828) 505-8688,1248.406659153892,35.5942187768589,-82.5551717868076,82 Patton Ave,,,Asheville,28801,US,NC,"82 Patton Ave;Asheville, NC 28801"
12,EfmEtlK4eeApsJ4-FiNmCg,plant-asheville,Plant,https://s3-media4.fl.yelpcdn.com/bphoto/GSecaEte3QgEN0A6ksgNCA/o.jpg,False,https://www.yelp.com/biz/plant-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,523,Vegan (vegan) Vegetarian (vegetarian),4.5,delivery,$$,+18282587500,(828) 258-7500,2432.3271408317933,35.604731,-82.552837,165 Merrimon Ave,,,Asheville,28801,US,NC,"165 Merrimon Ave;Asheville, NC 28801"
13,hsFh2FjyoQeSPBuKDA5bDg,the-admiral-asheville,The Admiral,https://s3-media1.fl.yelpcdn.com/bphoto/TB7TzzRktIkXB3AViZCzNw/o.jpg,False,https://www.yelp.com/biz/the-admiral-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,791,American (New) (newamerican),4.5,delivery,$$$,+18282522541,(828) 252-2541,2225.9188595195765,35.57773,-82.5798,400 Haywood Rd,,,Asheville,28806,US,NC,"400 Haywood Rd;Asheville, NC 28806"
14,Ef-cxkJkBCiCZ3qmyOqaoA,rockys-hot-chicken-shack-asheville-3,Rocky's Hot Chicken Shack,https://s3-media2.fl.yelpcdn.com/bphoto/jsglhFw7hZuFdxyIDFze1w/o.jpg,False,https://www.yelp.com/biz/rockys-hot-chicken-shack-asheville-3?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,701,Chicken Wings (chicken_wings) Soul Food (soulfood) Southern (southern),4.5,delivery,$$,+18285752260,(828) 575-2260,4877.737729275948,35.5785688060001,-82.6097350223432,1455 Patton Ave,,,Asheville,28806,US,NC,"1455 Patton Ave;Asheville, NC 28806"
15,3nu2FbuN__5LqOaGDRihTQ,corner-kitchen-asheville,Corner Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/VNBFDz0wHISQvDvut28rRA/o.jpg,False,https://www.yelp.com/biz/corner-kitchen-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,927,American (Traditional) (tradamerican),4.0,delivery,$$,+18282742439,(828) 274-2439,2294.257671399065,35.5662827271363,-82.5412345656414,3 Boston Way,,,Asheville,28803,US,NC,"3 Boston Way;Asheville, NC 28803"
16,pSScN6iOyZVgzcdeo5MjCg,nine-mile-asheville,Nine Mile,https://s3-media3.fl.yelpcdn.com/bphoto/7Wob21cc1Q6UP1Mdd1C86g/o.jpg,False,https://www.yelp.com/biz/nine-mile-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,653,Caribbean (caribbean) Vegetarian (vegetarian),4.5,delivery,$$,+18285053121,(828) 505-3121,2338.432008815477,35.60292,-82.56455,233 Montford Ave,,,Asheville,28801,US,NC,"233 Montford Ave;Asheville, NC 28801"
17,1QDjmQBNiUg_x7hwB2KarQ,limones-restaurant-asheville-2,Limones Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Fk25TME89kTpZCl4gT0W7w/o.jpg,False,https://www.yelp.com/biz/limones-restaurant-asheville-2?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,641,Mexican (mexican) Tapas Bars (tapas) Juice Bars & Smoothies (juicebars),4.5,delivery,$$,+18282522327,(828) 252-2327,1295.264872055157,35.59381,-82.55072,15 Eagle St,,,Asheville,28801,US,NC,"15 Eagle St;Asheville, NC 28801"
18,ts5BhhOiuEmYzzc88Tx-BA,early-girl-eatery-downtown-asheville-asheville,Early Girl Eatery - Downtown Asheville,https://s3-media3.fl.yelpcdn.com/bphoto/Crl1absWe1vQgzIP90yWgQ/o.jpg,False,https://www.yelp.com/biz/early-girl-eatery-downtown-asheville-asheville?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,1136,Vegetarian (vegetarian) Southern (southern) Breakfast & Brunch (breakfast_brunch),4.0,delivery,$$,+18282599292,(828) 259-9292,1326.9055241288856,35.5949146353158,-82.5549657502242,8 Wall St,,,Asheville,28801,US,NC,"8 Wall St;Asheville, NC 28801"
19,_KedBnieawR_nGMWywrYGw,french-broad-chocolate-lounge-asheville-5,French Broad Chocolate Lounge,https://s3-media3.fl.yelpcdn.com/bphoto/CVoEwtDONYNAMV3jDmc1vg/o.jpg,False,https://www.yelp.com/biz/french-broad-chocolate-lounge-asheville-5?adjust_creative=S7nEpQZNVClWXeq6f_3E4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S7nEpQZNVClWXeq6f_3E4Q,910,Chocolatiers & Shops (chocolate) Desserts (desserts),4.0,delivery,$$,+18282524181,(828) 252-4181,1397.1882294258176,35.594888,-82.5510159,10 S Pack Sq,,,Asheville,28801,US,NC,"10 S Pack Sq;Asheville, NC 28801"
